"id","created_at","texte","suicide"
"1338301295015374848","Mon Dec 14 01:54:27 +0000 2020","""82% of children, youth, and young adults in systems of care have experienced at least one traumatic event before entering services""41% of those children have had suicidal thoughts and 23% of those who had experienced a traumatic event attempted suicide",TRUE
"1238049720804794370","Thu Mar 12 10:30:29 +0000 2020","""Emergency departments have seen a 25.5% increase the past 2 years in patients who’ve had suicidal thoughts, harmed themselves, or both, according to a CDC report. It’s the latest article to raise alarm about rising suicide rates.""",TRUE
"1283426796097220614","Wed Jul 15 15:42:47 +0000 2020","""Gun suicide was already a public health crisis in this country well before coronavirus hit our shores. As we started to see the tremendous spike of gun sales...and then... these soaring rates of unemployment, that's a tremendous concern."" ",TRUE
"1238512154636099586","Fri Mar 13 17:08:02 +0000 2020","""I wanna end me"" means you want to end your old interpretation of yourself, and how you're perceived by others, at least metaphorically.  It doesn't, at least to me, have the more negative connotation of wanting to commit suicide.  .  Am I correct?",TRUE
"1338771820615520256","Tue Dec 15 09:04:09 +0000 2020","""In times of war, people focus on the outside world and survival more""? Which would mean suicide rates would once more climb **when the pandemic is perceived to recede**.Still, a certain irony in asking for speculation, after declaring speculation can't replace data ",TRUE
"1239146699148480513","Sun Mar 15 11:09:29 +0000 2020","""It was a bit difficult at first bcs I was alone&amp; I speak a different Kurdish dialect,but now I feel pretty good..I work at the bakery&amp;in the fields.I would tell those #women who want to commit suicide that there are other solutions,such as #Jinwar"" #Syria",TRUE
"1338514117062225923","Mon Dec 14 16:00:08 +0000 2020","""I’m a quadriplegic and want to commit suicide. How do I deal with my resentment toward God?"" ",TRUE
"1283445338288734208","Wed Jul 15 16:56:28 +0000 2020","""Nearly everyone I know in #Gaza has contemplated suicide more than once. Despite the deep taboo, 2020 is heading toward a record spike in suicides, and most are young, unemployed and suffocated by despair."" –– Muhammad Shehada#Palestinians #Palestine",TRUE
"1282113373006639104","Sun Jul 12 00:43:43 +0000 2020","""So here I am once moreIn the playground of the broken heartsOne more experience, one more entry in a diary, self-pennedYet another emotional suicideOverdosed on sentiment and pride""Geïndoctrineerde nepjankerds.#Marillion #MyLifeCounts #Bach ",TRUE
"1205286460179591168","Fri Dec 13 00:40:59 +0000 2019","""[in this study] the postdischarge suicide rate was approximately 100x the global suicide rate during the first 3 months after discharge &amp; patients admitted w/ suicidal thoughts or behaviors had rates near 200x the global rate.""",TRUE
"1238884682680258560","Sat Mar 14 17:48:20 +0000 2020","#NarendraModi #NirmalaSitharaman #AmitshahListen to victim. Already 39 victims died.Some are in Dipression want to commit suicide.Your conscious does not hurt, get up from sleep, Who ever speaks in favour, you people silence them, May I know the reason? PM speak on this issue ",TRUE
"1239326813282861066","Sun Mar 15 23:05:12 +0000 2020","#SDLeg up to their tricks. GOP legislators in leadership positions hiding the true story of gun deaths by suicide in South Dakota. They stalled this SCR 603 long enough for a complete hog-house rewrite helped by NRA. - SD",TRUE
"1205726100862754817","Sat Dec 14 05:47:58 +0000 2019","#SUICIDE Prevention Man w/ B12 Deficiency had memory loss, depression &amp; took his life by suicide.  Reminder: People w/ B12 Deficiency can have depression on spectrum from mild to severe, memory loss on spectrum from mild to severe, thoughts of suicide.  ",TRUE
"1338970592452677636","Tue Dec 15 22:14:00 +0000 2020","#SuicidePrevention Many problems society tries to solve with legal approaches are better solved with public health approaches #SharedFacts",TRUE
"1338985057453797376","Tue Dec 15 23:11:29 +0000 2020","#gunsense #2a #Florida #SuicideAwareness Suicide by firearm is *gun violence.* Suicide is a family annihilator’s “Get Out of Jail Free” card. #Suicide is not a “personal choice” if it facilitates a multiple murder. The victims did not “personally choose” to be killed. ",TRUE
"1237557905768845314","Wed Mar 11 01:56:12 +0000 2020","#taekookau where Jungkook is the highschool's quite and shy nerd, always getting bullied by his classmates except for once when they promise to leave him alone and even let him join their group but only on one condition : kiss the highschool's loner and bad boy Kim Taehyung ",TRUE
"1338983700206395394","Tue Dec 15 23:06:05 +0000 2020","&amp; how many people do our packages reach once it leaves the warehouse, &amp; then can spread to us when we get it. But nope, restaurants, bars &amp; gyms are bad! No logic!!! I also officially, personally know more people who died from suicide in 10 months vs died from CV. ",TRUE
"1282750234888744962","Mon Jul 13 18:54:23 +0000 2020","(Don’t worry- I’m not going to commit suicide. I’m just expressing that I have had these thoughts that enter my mind and I have to try everything to shut those those thoughts down) but it gave me a glimpse into what it would actually be like if I committed suicide. So",TRUE
"1282584651635126274","Mon Jul 13 07:56:24 +0000 2020","(Suicide tw) Like recently I had some yikes thoughts/urges and knew I wasn't going to act on them bc of being plural and knowing better and knew because of that I couldn't call a hotline. And even if I could I'd not actually get any solid help bc that requires therapy.",TRUE
"1201976314040860672","Tue Dec 03 21:27:39 +0000 2019","*goes to doctor to refill antidepressants* *tells them I haven't had thoughts of killing myself**thinks about killing myself while waiting for prescription to be filled*",TRUE
"1236265789734424580","Sat Mar 07 12:21:47 +0000 2020","- Fam Suicide/Suicidal Thoughts, Deep Depression And Episodes Are No Joke Man. People Are Going Through It And You’d Never Know. 2016 I Had Multiple Masks On.",TRUE
"1338706014493954049","Tue Dec 15 04:42:40 +0000 2020","--I want to commit suicide.",TRUE
"1235349963682582536","Wed Mar 04 23:42:37 +0000 2020","...and even told someone to ""end their existence"" i.e. commit suicide. Also, I'll admit right now: I have a tendency to get mad more easily than most people after suffering emotional abuse, sexual abuse and being bullied growing up, but not once have I done ANY of this shit!",TRUE
"1338919251902599169","Tue Dec 15 18:50:00 +0000 2020",".testifies on her bill to have gun dealers give out suicide prevention information. The bill would allow gun dealers to take an active role in saving lives and decreasing suicide rates. ",TRUE
"1283367010219458560","Wed Jul 15 11:45:13 +0000 2020",".'Nearly everyone I know in Gaza has contemplated suicide more than once': Despite the deep taboo, 2020 is heading toward a record spike in suicides, and most are young, unemployed and suffocated by despair ",TRUE
"1338936960824582151","Tue Dec 15 20:00:22 +0000 2020","// suicide mentionedI just really don’t want Tommy to commit because I just don’t think that’s the ending that Tommys character should have. I just want him to be saved? Kinda like how Phil was like: dream why are you naked on the prime log. mannn I just want tommy to be safe ",TRUE
