,pages_links,pages_names,subcategory,content
0,https://en.wikipedia.org//wiki/List_of_20th-century_women_artists,List_of_20th-century_women_artists,Lists_of_artists,no_matching_content
1,https://en.wikipedia.org//wiki/List_of_American_artists_before_1900,List_of_American_artists_before_1900,Lists_of_artists,no_matching_content
2,https://en.wikipedia.org//wiki/List_of_animators,List_of_animators,Lists_of_artists,no_matching_content
3,https://en.wikipedia.org//wiki/List_of_members_of_Aosd%C3%A1na,List_of_members_of_Aosdána,Lists_of_artists,no_matching_content
4,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_winners,List_of_Archibald_Prize_winners,Lists_of_artists,no_matching_content
5,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1921_finalists,List_of_Archibald_Prize_1921_finalists,Lists_of_artists,no_matching_content
6,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1922_finalists,List_of_Archibald_Prize_1922_finalists,Lists_of_artists,no_matching_content
7,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1923_finalists,List_of_Archibald_Prize_1923_finalists,Lists_of_artists,no_matching_content
8,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1924_finalists,List_of_Archibald_Prize_1924_finalists,Lists_of_artists,no_matching_content
9,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1925_finalists,List_of_Archibald_Prize_1925_finalists,Lists_of_artists,no_matching_content
10,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1926_finalists,List_of_Archibald_Prize_1926_finalists,Lists_of_artists,no_matching_content
11,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1938_finalists,List_of_Archibald_Prize_1938_finalists,Lists_of_artists,no_matching_content
12,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1939_finalists,List_of_Archibald_Prize_1939_finalists,Lists_of_artists,no_matching_content
13,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1946_finalists,List_of_Archibald_Prize_1946_finalists,Lists_of_artists,no_matching_content
14,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1960_finalists,List_of_Archibald_Prize_1960_finalists,Lists_of_artists,no_matching_content
15,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1966_finalists,List_of_Archibald_Prize_1966_finalists,Lists_of_artists,no_matching_content
16,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1973_finalists,List_of_Archibald_Prize_1973_finalists,Lists_of_artists,no_matching_content
17,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1986_finalists,List_of_Archibald_Prize_1986_finalists,Lists_of_artists,no_matching_content
18,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1990_finalists,List_of_Archibald_Prize_1990_finalists,Lists_of_artists,no_matching_content
19,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1993_finalists,List_of_Archibald_Prize_1993_finalists,Lists_of_artists,no_matching_content
20,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1994_finalists,List_of_Archibald_Prize_1994_finalists,Lists_of_artists,no_matching_content
21,https://en.wikipedia.org//wiki/List_of_Archibald_Prize_1995_finalists,List_of_Archibald_Prize_1995_finalists,Lists_of_artists,no_matching_content
